chr1	start1	end1	chr2	start2	end2
1	19910000	19920000	1	20490000	20500000
1	22690000	22700000	1	22930000	22940000
2	84500000	84510000	2	84860000	84870000
2	84490000	84500000	2	84930000	84940000
2	84490000	84500000	2	85280000	85290000
2	85060000	85070000	2	85280000	85290000
2	85730000	85740000	2	86080000	86090000
2	85820000	85830000	2	86080000	86090000
2	88030000	88040000	2	88680000	88690000
1	56830000	56840000	1	58040000	58050000
2	88230000	88240000	2	89800000	89810000
2	88410000	88420000	2	89800000	89810000
2	112610000	112620000	2	112940000	112950000
2	112740000	112750000	2	112940000	112950000
2	113700000	113710000	2	114550000	114560000
2	113970000	113980000	2	114550000	114560000
2	116510000	116520000	2	116950000	116960000
2	116510000	116520000	2	117770000	117780000
2	116740000	116750000	2	117770000	117780000
1	56830000	56840000	1	58160000	58170000
2	117470000	117480000	2	117770000	117780000
2	118040000	118050000	2	118850000	118860000
2	118050000	118060000	2	118180000	118190000
2	118210000	118220000	2	118850000	118860000
2	118370000	118380000	2	118850000	118860000
2	118880000	118890000	2	119170000	119180000
2	118880000	118890000	2	119300000	119310000
2	119640000	119650000	2	120680000	120690000
2	119690000	119700000	2	120320000	120330000
2	120230000	120240000	2	120310000	120320000
2	120230000	120240000	2	120670000	120680000
2	120690000	120700000	2	121070000	121080000
2	121970000	121980000	2	122450000	122460000
1	56830000	56840000	1	58650000	58660000
2	121990000	122000000	2	122130000	122140000
2	123810000	123820000	2	123990000	124000000
2	124030000	124040000	2	125510000	125520000
2	125740000	125750000	2	126770000	126780000
2	126230000	126240000	2	126770000	126780000
2	126390000	126400000	2	126760000	126770000
2	126520000	126530000	2	126760000	126770000
2	127190000	127200000	2	127470000	127480000
2	127320000	127330000	2	127470000	127480000
2	127870000	127880000	2	128100000	128110000
1	58510000	58520000	1	59760000	59770000
2	128050000	128060000	2	129920000	129930000
2	128330000	128340000	2	129230000	129240000
2	128750000	128760000	2	129230000	129240000
2	132540000	132550000	2	133170000	133180000
2	132540000	132550000	2	133840000	133850000
2	132550000	132560000	2	133770000	133780000
2	133880000	133890000	2	134430000	134440000
2	133880000	133890000	2	134890000	134900000
1	58520000	58530000	1	58650000	58660000
2	134240000	134250000	2	134410000	134420000
2	134460000	134470000	2	134890000	134900000
2	134990000	135000000	2	135710000	135720000
2	136120000	136130000	2	136370000	136380000
2	136130000	136140000	2	136210000	136220000
2	136420000	136430000	2	137830000	137840000
2	137870000	137880000	2	138820000	138830000
2	137920000	137930000	2	138800000	138810000
2	142160000	142170000	2	142600000	142610000
2	142150000	142160000	2	142980000	142990000
1	58740000	58750000	1	59690000	59700000
2	144410000	144420000	2	145750000	145760000
2	144600000	144610000	2	145740000	145750000
2	146730000	146740000	2	147910000	147920000
2	146920000	146930000	2	147900000	147910000
2	147060000	147070000	2	147900000	147910000
2	147940000	147950000	2	149560000	149570000
2	149010000	149020000	2	149560000	149570000
2	149590000	149600000	2	151240000	151250000
2	149600000	149610000	2	151050000	151060000
2	150600000	150610000	2	151230000	151240000
2	151270000	151280000	2	152700000	152710000
1	59300000	59310000	1	59690000	59700000
2	151440000	151450000	2	152010000	152020000
2	151440000	151450000	2	152680000	152690000
2	152030000	152040000	2	152630000	152640000
2	152180000	152190000	2	152630000	152640000
2	152180000	152190000	2	153520000	153530000
1	59970000	59980000	1	61590000	61600000
2	152740000	152750000	2	153510000	153520000
2	152930000	152940000	2	154370000	154380000
2	154410000	154420000	2	155300000	155310000
2	155370000	155380000	2	156890000	156900000
2	155370000	155380000	2	157050000	157060000
2	155370000	155380000	2	157190000	157200000
2	155370000	155380000	2	157310000	157320000
2	155380000	155390000	2	156590000	156600000
2	156190000	156200000	2	156590000	156600000
1	59970000	59980000	1	61850000	61860000
2	157310000	157320000	2	158000000	158010000
2	157310000	157320000	2	158760000	158770000
2	157500000	157510000	2	158010000	158020000
2	157500000	157510000	2	158750000	158760000
1	60280000	60290000	1	61590000	61600000
2	157780000	157790000	2	158750000	158760000
2	158030000	158040000	2	158170000	158180000
2	158030000	158040000	2	158460000	158470000
2	158030000	158040000	2	158650000	158660000
2	158170000	158180000	2	158750000	158760000
2	158460000	158470000	2	158740000	158750000
2	158900000	158910000	2	159110000	159120000
1	60840000	60850000	1	60960000	60970000
2	160100000	160110000	2	160990000	161000000
2	160340000	160350000	2	160980000	160990000
2	161580000	161590000	2	161940000	161950000
2	161580000	161590000	2	162120000	162130000
2	161580000	161590000	2	162290000	162300000
2	162000000	162010000	2	162120000	162130000
2	162890000	162900000	2	163130000	163140000
2	181070000	181080000	2	182070000	182080000
1	60840000	60850000	1	61040000	61050000
2	181740000	181750000	2	182070000	182080000
2	181740000	181750000	2	182640000	182650000
2	182180000	182190000	2	182970000	182980000
2	182180000	182190000	2	182640000	182650000
2	182670000	182680000	2	182970000	182980000
2	182780000	182790000	2	182970000	182980000
2	184610000	184620000	2	186260000	186270000
2	185290000	185300000	2	186250000	186260000
2	185290000	185300000	2	186450000	186460000
2	185520000	185530000	2	186250000	186260000
